code,name,r,g,b,hex
898,Coffee Brown Very Dark,73,42,19,#492A13
921,Copper,198,98,24,#C66218
922,Copper Light,226,115,35,#E27323
920,Copper Medium,172,84,20,#AC5414
351,Coral,233,106,103,#E96A67
349,Coral Dark,210,16,53,#D21035
352,Coral Light,253,156,151,#FD9C97
350,Coral Medium,224,72,72,#E04848
817,Coral Red Very Dark,187,5,31,#BB051F
3807,Cornflower Blue,96,103,140,#60678C
158,Cornflower Blue Very Dark,76,82,110,#4C526E
792,Cornflower Blue Dark,85,91,123,#555B7B
794,Cornflower Blue Light,143,156,193,#8F9CC1
793,Cornflower Blue Medium,112,125,162,#707DA2
791,Cornflower Blue Very Dark,70,69,99,#464563
157,Cornflower Blue Very Light,187,195,217,#BBC3D9
603,Cranberry,255,164,190,#FFA4BE
601,Cranberry Dark,209,40,106,#D1286A
604,Cranberry Light,255,176,190,#FFB0BE
602,Cranberry Medium,226,72,116,#E24874
600,Cranberry Very Dark,205,47,99,#CD2F63
605,Cranberry Very Light,255,192,205,#FFC0CD
712,Cream,255,251,239,#FFFBEF
3805,Cyclamen Pink,243,71,139,#F3478B
3804,Cyclamen Pink Dark,224,40,118,#E02876
3806,Cyclamen Pink Light,255,140,174,#FF8CAE
809,Delft Blue,148,168,198,#94A8C6
798,Delft Blue Dark,70,106,142,#466A8E
799,Delft Blue Medium,116,142,182,#748EB6
800,Delft Blue Pale,192,204,222,#C0CCDE
3064,Desert Sand,196,142,112,#C48E70
3773,Desert Sand Dark,182,117,82,#B67552
950,Desert Sand Light,238,211,196,#EED3C4
407,Desert Sand Medium,187,129,97,#BB8161
632,Desert Sand Ultra Very Dark,135,85,57,#875539
3772,Desert Sand Very Dark,160,108,80,#A06C50
3774,Desert Sand Very Light,243,225,215,#F3E1D7
611,Drab Brown,150,118,86,#967656
610,Drab Brown Dark,121,96,71,#796047
612,Drab Brown Light,188,154,120,#BC9A78
613,Drab Brown Very Light,220,196,170,#DCC4AA
07,Driftwood,143,123,110,#8F7B6E
08,Driftwood Dark,106,80,70,#6A5046
05,Driftwood Light,227,204,190,#E3CCBE
06,Driftwood Medium Light,220,198,184,#DCC6B8
3733,Dusty Rose,232,135,155,#E8879B
961,Dusty Rose Dark,207,115,115,#CF7373
3354,Dusty Rose Light,228,166,172,#E4A6AC
962,Dusty Rose Medium,230,138,138,#E68A8A
3716,Dusty Rose Very Light,255,189,189,#FFBDBD
3350,Dusty Rose Ultra Dark,188,67,101,#BC4365
150,Dusty Rose Ultra Very Dark,171,2,73,#AB0249
963,Dusty Rose Ultra Very Light,255,215,215,#FFD7D7
3731,Dusty Rose Very Dark,218,103,131,#DA6783
151,Dusty Rose Very Light 2,240,206,212,#F0CED4
Ecru,Ecru,240,234,218,#F0EADA
29,Eggplant,103,64,118,#674076
28,Eggplant Medium Light,144,134,169,#9086A9
3843,Electric Blue,20,170,208,#14AAD0
995,Electric Blue Dark,38,150,182,#2696B6
996,Electric Blue Medium,48,194,236,#30C2EC
910,Emerald Green Dark,24,126,86,#187E56
912,Emerald Green Light,27,157,107,#1B9D6B
911,Emerald Green Medium,24,144,101,#189065
3818,Emerald Green Ultra Very Dark,17,90,59,#115A3B
909,Emerald Green Very Dark,21,111,73,#156F49
522,Fern Green,150,158,126,#969E7E
520,Fern Green Dark,102,109,79,#666D4F
523,Fern Green Light,171,177,151,#ABB197
524,Fern Green Very Light,196,205,172,#C4CDAC
989,Forest Green,141,166,117,#8DA675
987,Forest Green Dark,88,113,65,#587141
164,Forest Green Light,200,216,184,#C8D8B8
988,Forest Green Medium,115,139,91,#738B5B
986,Forest Green Very Dark,64,82,48,#405230
33,Fuschia,156,89,158,#9C599C
34,Fuschia Dark,125,48,100,#7D3064
35,Fuschia Very Dark,70,5,45,#46052D
816,Garnet,151,11,35,#970B23
814,Garnet Dark,123,0,27,#7B001B
815,Garnet Medium,135,7,31,#87071F
902,Garnet Very Dark,130,38,55,#822637
956,Geranium,255,145,145,#FF9191
957,Geranium Pale,253,181,181,#FDB5B5
3826,Golden Brown,173,114,57,#AD7239
975,Golden Brown Dark,145,79,18,#914F12
977,Golden Brown Light,220,156,86,#DC9C56
976,Golden Brown Medium,194,129,66,#C28142
3827,Golden Brown Pale,247,187,119,#F7BB77
832,Golden Olive,189,155,81,#BD9B51
830,Golden Olive Dark,141,120,75,#8D784B
833,Golden Olive Light,200,171,108,#C8AB6C
831,Golden Olive Medium,170,143,86,#AA8F56
829,Golden Olive Very Dark,126,107,66,#7E6B42
834,Golden Olive Very Light,219,190,127,#DBBE7F
3078,Golden Yellow Very Light,253,249,205,#FDF9CD
3834,Grape Dark,114,55,93,#72375D
3836,Grape Light,186,145,170,#BA91AA
3835,Grape Medium,148,96,131,#946083
154,Grape Very Dark,87,36,51,#572433
3768,Gray Green Dark,101,127,127,#657F7F
927,Gray Green Light,189,203,203,#BDCBCB
926,Gray Green Medium,152,174,174,#98AEAE
928,Gray Green Very Light,221,227,227,#DDE3E3
924,Gray Green Very Dark,86,106,106,#566A6A
699,Green,5,101,23,#056517
700,Green Bright,7,115,27,#07731B
3850,Green Bright Dark,55,132,119,#378477
3851,Green Bright Light,73,179,161,#49B3A1
943,Green Bright Medium,61,147,132,#3D9384
3053,Green Gray,156,164,130,#9CA482
3051,Green Gray Dark,95,102,72,#5F6648
3052,Green Gray Medium,136,146,104,#889268
701,Green Light,63,143,41,#3F8F29
3828,Hazelnut Brown,183,139,97,#B78B61
420,Hazelnut Brown Dark,160,112,66,#A07042
422,Hazelnut Brown Light,198,159,123,#C69F7B
869,Hazelnut Brown Very Dark,131,94,57,#835E39
3346,Hunter Green,64,106,58,#406A3A
3345,Hunter Green Dark,27,89,21,#1B5915
895,Hunter Green Very Dark,27,83,0,#1B5300
505,Jade Green,51,131,98,#338362
563,Jade Light,143,192,152,#8FC098
562,Jade Medium,83,151,106,#53976A
966,Jade Ultra Very Light,185,215,192,#B9D7C0
564,Jade Very Light,167,205,175,#A7CDAF
702,Kelly Green,71,167,47,#47A72F
3011,Khaki Green Dark,137,138,88,#898A58
3013,Khaki Green Light,185,185,130,#B9B982
3012,Khaki Green Medium,166,167,93,#A6A75D
3838,Lavender Blue Dark,92,114,148,#5C7294
3840,Lavender Blue Light,176,192,218,#B0C0DA
3839,Lavender Blue Medium,123,142,171,#7B8EAB
209,Lavender Dark,163,123,167,#A37BA7
211,Lavender Light,227,203,227,#E3CBE3
210,Lavender Medium,195,159,195,#D29FC3
26,Lavender Pale,215,202,230,#D7CAE6
3837,Lavender Ultra Dark,108,58,110,#6C3A6E
25,Lavender Ultra Light,218,210,233,#DAD2E9
208,Lavender Very Dark,131,91,139,#835B8B
307,Lemon,253,237,84,#FDED54
444,Lemon Dark,255,214,0,#FFD600
445,Lemon Light,255,251,139,#FFFB8B
400,Mahogany Dark,143,67,15,#8F430F
3776,Mahogany Light,207,121,57,#CF7939
301,Mahogany Medium,179,95,43,#B35F2B
3856,Mahogany Ultra Very Light,255,211,181,#FFD3B5
300,Mahogany Very Dark,111,47,0,#6F2F00
402,Mahogany Very Light,247,167,119,#F7A777
3687,Mauve,201,107,112,#C96B70
3803,Mauve Dark,171,51,87,#AB3357
3689,Mauve Light,251,191,194,#FBBFC2
3688,Mauve Medium,231,169,172,#E7A9AC
3685,Mauve Very Dark,136,21,49,#881531
3705,Melon Dark,255,121,146,#FF7992
3708,Melon Light,255,203,213,#FFCBD5
3706,Melon Medium,255,173,188,#FFADBC
3801,Melon Very Dark,231,73,103,#E74967
3862,Mocha Beige Dark,138,110,78,#8A6E4E
3864,Mocha Beige Light,203,182,156,#CBB69C
3863,Mocha Beige Medium,164,131,92,#A4835C
3781,Mocha Brown Dark,107,87,67,#6B5743
3782,Mocha Brown Light,210,188,166,#D2BCA6
3032,Mocha Brown Medium,179,159,139,#B39F8B
3866,Mocha Brown Ultra Very Light,250,246,240,#FAF6F0
3031,Mocha Brown Very Dark,75,60,42,#4B3C2A
3033,Mocha Brown Very Light,227,216,204,#E3D8CC
581,Moss Green,167,174,56,#A7AE38
580,Moss Green Dark,136,141,51,#888D33
3819,Moss Green Light,224,232,104,#E0E868
166,Moss Green Medium Light,192,200,64,#C0C840
165,Moss Green Very Light,239,244,164,#EFF4A4
371,Mustard,191,166,113,#BFA671
372,Mustard Light,204,183,132,#CCB784
370,Mustard Medium,184,157,100,#B89D64
336,Navy Blue,37,59,115,#253B73
823,Navy Blue Dark,33,48,99,#213063
939,Navy Blue Very Dark,27,40,83,#1B2853
954,Nile Green,136,186,145,#88BA91
955,Nile Green Light,162,214,173,#A2D6AD
913,Nile Green Medium,109,171,119,#6DAB77
13,Nile Green Medium Light,191,246,224,#BFF6E0
746,Off White,252,252,238,#FCFCEE
680,Old Gold Dark,188,141,14,#BC8D0E
676,Old Gold Light,229,206,151,#E5CE97
729,Old Gold Medium,208,165,62,#D0A53E
677,Old Gold Very Light,245,236,203,#F5ECCB
3829,Old Gold Very Dark,169,130,4,#A98204
732,Olive Green,148,140,54,#948C36
731,Olive Green Dark,147,139,55,#938B37
734,Olive Green Light,199,192,119,#C7C077
733,Olive Green Medium,188,179,76,#BCB34C
730,Olive Green Very Dark,130,123,48,#827B30
606,Orange Red Bright,250,50,3,#FA3203
720,Orange Spice Dark,229,92,31,#E55C1F
722,Orange Spice Light,247,151,111,#F7976F
721,Orange Spice Medium,242,120,66,#F27842
905,Parrot Green Dark,98,138,40,#628A28
907,Parrot Green Light,199,230,102,#C7E666
906,Parrot Green Medium,127,179,53,#7FB335
904,Parrot Green Very Dark,85,120,34,#557822
353,Peach,254,215,204,#FED7CC
754,Peach Light,247,203,191,#F7CBBF
948,Peach Very Light,254,231,218,#FEE7DA
807,Peacock Blue,100,171,186,#64ABBA
806,Peacock Blue Dark,61,149,165,#3D95A5
3766,Peacock Blue Light,153,207,217,#99CFD9
3765,Peacock Blue Very Dark,52,127,140,#347F8C
White,White,255,255,255,#FFFFFF
